SampleID,Field,SampleDate,Parameter,Sum of Current,Average of Ideal
043024-sp-84,DAF 2,2024-03-20,pH (1:1),6.34,6.2
043024-sp-84,DAF 2,2024-03-20,Soluble Salts,0.01,0.64
043024-sp-84,DAF 2,2024-03-20,EC,0.02,0.7
043024-sp-84,DAF 2,2024-03-20,ORP,27.0,80.0
043024-sp-84,DAF 2,2024-03-20,Organic Matter,2.34,7.0
043024-sp-84,DAF 2,2024-03-20,Active Carbon,183.46,1000.0
043024-sp-84,DAF 2,2024-03-20,Bicarbonates,81.17,60.0
043024-sp-84,DAF 2,2024-03-20,Est N from OM in lb,66.8,120.0
043024-sp-84,DAF 2,2024-03-20,Nitrate,8.78,30.0
043024-sp-84,DAF 2,2024-03-20,Ammonium,0.64,40.0
043024-sp-85,DAF,2024-03-20,pH (1:1),6.91,6.2
043024-sp-85,DAF,2024-03-20,Soluble Salts,0.01,0.64
043024-sp-85,DAF,2024-03-20,EC,0.02,0.7
043024-sp-85,DAF,2024-03-20,ORP,2.0,80.0
043024-sp-85,DAF,2024-03-20,Organic Matter,1.58,7.0
043024-sp-85,DAF,2024-03-20,Active Carbon,106.99,1000.0
043024-sp-85,DAF,2024-03-20,Bicarbonates,116.18,60.0
043024-sp-85,DAF,2024-03-20,Est N from OM in lb,51.6,120.0
043024-sp-85,DAF,2024-03-20,Nitrate,3.64,30.0
043024-sp-85,DAF,2024-03-20,Ammonium,0.0,40.0
043024-sp-86,GOODMAN,2024-03-20,pH (1:1),7.71,6.2
043024-sp-86,GOODMAN,2024-03-20,Soluble Salts,0.03,0.64
043024-sp-86,GOODMAN,2024-03-20,EC,0.04,0.7
043024-sp-86,GOODMAN,2024-03-20,ORP,-37.0,80.0
043024-sp-86,GOODMAN,2024-03-20,Organic Matter,3.36,7.0
043024-sp-86,GOODMAN,2024-03-20,Active Carbon,150.32,1000.0
043024-sp-86,GOODMAN,2024-03-20,Bicarbonates,140.13,60.0
043024-sp-86,GOODMAN,2024-03-20,Est N from OM in lb,83.6,120.0
043024-sp-86,GOODMAN,2024-03-20,Nitrate,22.88,30.0
043024-sp-86,GOODMAN,2024-03-20,Ammonium,0.0,40.0
043024-sp-87,MAZZ-HOME,2024-03-20,pH (1:1),7.67,6.2
043024-sp-87,MAZZ-HOME,2024-03-20,Soluble Salts,0.01,0.64
043024-sp-87,MAZZ-HOME,2024-03-20,EC,0.02,0.7
043024-sp-87,MAZZ-HOME,2024-03-20,ORP,-30.0,80.0
043024-sp-87,MAZZ-HOME,2024-03-20,Organic Matter,2.08,7.0
043024-sp-87,MAZZ-HOME,2024-03-20,Active Carbon,99.35,1000.0
043024-sp-87,MAZZ-HOME,2024-03-20,Bicarbonates,116.83,60.0
043024-sp-87,MAZZ-HOME,2024-03-20,Est N from OM in lb,61.6,120.0
043024-sp-87,MAZZ-HOME,2024-03-20,Nitrate,13.76,30.0
043024-sp-87,MAZZ-HOME,2024-03-20,Ammonium,0.0,40.0
043024-sp-88,BRS-250,2024-03-20,pH (1:1),7.24,6.2
043024-sp-88,BRS-250,2024-03-20,Soluble Salts,0.01,0.64
043024-sp-88,BRS-250,2024-03-20,EC,0.02,0.7
043024-sp-88,BRS-250,2024-03-20,ORP,-16.0,80.0
043024-sp-88,BRS-250,2024-03-20,Organic Matter,,7.0
043024-sp-88,BRS-250,2024-03-20,Active Carbon,214.04,1000.0
043024-sp-88,BRS-250,2024-03-20,Bicarbonates,113.24,60.0
043024-sp-88,BRS-250,2024-03-20,Est N from OM in lb,0.0,120.0
043024-sp-88,BRS-250,2024-03-20,Nitrate,21.88,30.0
043024-sp-88,BRS-250,2024-03-20,Ammonium,0.25,40.0
043024-sp-89,C&H3,2024-03-20,pH (1:1),7.2,6.2
043024-sp-89,C&H3,2024-03-20,Soluble Salts,0.01,0.64
043024-sp-89,C&H3,2024-03-20,EC,0.02,0.7
043024-sp-89,C&H3,2024-03-20,ORP,-12.0,80.0
043024-sp-89,C&H3,2024-03-20,Organic Matter,2.96,7.0
043024-sp-89,C&H3,2024-03-20,Active Carbon,198.75,1000.0
043024-sp-89,C&H3,2024-03-20,Bicarbonates,115.73,60.0
043024-sp-89,C&H3,2024-03-20,Est N from OM in lb,79.2,120.0
043024-sp-89,C&H3,2024-03-20,Nitrate,14.71,30.0
043024-sp-89,C&H3,2024-03-20,Ammonium,0.02,40.0
043024-sp-90,505 SOUTH,2024-03-20,pH (1:1),6.6,6.2
043024-sp-90,505 SOUTH,2024-03-20,Soluble Salts,0.02,0.64
043024-sp-90,505 SOUTH,2024-03-20,EC,0.03,0.7
043024-sp-90,505 SOUTH,2024-03-20,ORP,7.0,80.0
043024-sp-90,505 SOUTH,2024-03-20,Organic Matter,2.86,7.0
043024-sp-90,505 SOUTH,2024-03-20,Active Carbon,186.0,1000.0
043024-sp-90,505 SOUTH,2024-03-20,Bicarbonates,110.19,60.0
043024-sp-90,505 SOUTH,2024-03-20,Est N from OM in lb,77.2,120.0
043024-sp-90,505 SOUTH,2024-03-20,Nitrate,20.91,30.0
043024-sp-90,505 SOUTH,2024-03-20,Ammonium,0.19,40.0
043024-sp-91,BALBOA,2024-03-20,pH (1:1),7.41,6.2
043024-sp-91,BALBOA,2024-03-20,Soluble Salts,0.01,0.64
043024-sp-91,BALBOA,2024-03-20,EC,0.02,0.7
043024-sp-91,BALBOA,2024-03-20,ORP,-30.0,80.0
043024-sp-91,BALBOA,2024-03-20,Organic Matter,2.68,7.0
043024-sp-91,BALBOA,2024-03-20,Active Carbon,165.61,1000.0
043024-sp-91,BALBOA,2024-03-20,Bicarbonates,123.76,60.0
043024-sp-91,BALBOA,2024-03-20,Est N from OM in lb,73.6,120.0
043024-sp-91,BALBOA,2024-03-20,Nitrate,14.38,30.0
043024-sp-91,BALBOA,2024-03-20,Ammonium,0.0,40.0
043024-sp-92,TERK,2024-03-20,pH (1:1),7.12,6.2
043024-sp-92,TERK,2024-03-20,Soluble Salts,0.02,0.64
043024-sp-92,TERK,2024-03-20,EC,0.03,0.7
043024-sp-92,TERK,2024-03-20,ORP,-8.0,80.0
043024-sp-92,TERK,2024-03-20,Organic Matter,2.4,7.0
043024-sp-92,TERK,2024-03-20,Active Carbon,203.85,1000.0
043024-sp-92,TERK,2024-03-20,Bicarbonates,122.98,60.0
043024-sp-92,TERK,2024-03-20,Est N from OM in lb,68.0,120.0
043024-sp-92,TERK,2024-03-20,Nitrate,16.84,30.0
043024-sp-92,TERK,2024-03-20,Ammonium,0.4,40.0
043024-sp-93,REYES,2024-03-20,pH (1:1),7.31,6.2
043024-sp-93,REYES,2024-03-20,Soluble Salts,0.01,0.64
043024-sp-93,REYES,2024-03-20,EC,0.02,0.7
043024-sp-93,REYES,2024-03-20,ORP,-22.0,80.0
043024-sp-93,REYES,2024-03-20,Organic Matter,2.22,7.0
043024-sp-93,REYES,2024-03-20,Active Carbon,112.09,1000.0
043024-sp-93,REYES,2024-03-20,Bicarbonates,121.02,60.0
043024-sp-93,REYES,2024-03-20,Est N from OM in lb,64.4,120.0
043024-sp-93,REYES,2024-03-20,Nitrate,7.69,30.0
043024-sp-93,REYES,2024-03-20,Ammonium,0.05,40.0
043024-sp-94,BI,2024-03-20,pH (1:1),7.21,6.2
043024-sp-94,BI,2024-03-20,Soluble Salts,0.01,0.64
043024-sp-94,BI,2024-03-20,EC,0.01,0.7
043024-sp-94,BI,2024-03-20,ORP,-7.0,80.0
043024-sp-94,BI,2024-03-20,Organic Matter,1.46,7.0
043024-sp-94,BI,2024-03-20,Active Carbon,122.28,1000.0
043024-sp-94,BI,2024-03-20,Bicarbonates,145.13,60.0
043024-sp-94,BI,2024-03-20,Est N from OM in lb,49.2,120.0
043024-sp-94,BI,2024-03-20,Nitrate,21.96,30.0
043024-sp-94,BI,2024-03-20,Ammonium,0.0,40.0
043024-sp-95,GJ,2024-03-20,pH (1:1),6.52,6.2
043024-sp-95,GJ,2024-03-20,Soluble Salts,0.01,0.64
043024-sp-95,GJ,2024-03-20,EC,0.02,0.7
043024-sp-95,GJ,2024-03-20,ORP,12.0,80.0
043024-sp-95,GJ,2024-03-20,Organic Matter,3.36,7.0
043024-sp-95,GJ,2024-03-20,Active Carbon,183.46,1000.0
043024-sp-95,GJ,2024-03-20,Bicarbonates,137.19,60.0
043024-sp-95,GJ,2024-03-20,Est N from OM in lb,83.6,120.0
043024-sp-95,GJ,2024-03-20,Nitrate,22.97,30.0
043024-sp-95,GJ,2024-03-20,Ammonium,0.4,40.0
043024-sp-96,DAF,2024-03-20,pH (1:1),6.94,6.2
043024-sp-96,DAF,2024-03-20,Soluble Salts,0.01,0.64
043024-sp-96,DAF,2024-03-20,EC,0.02,0.7
043024-sp-96,DAF,2024-03-20,ORP,1.0,80.0
043024-sp-96,DAF,2024-03-20,Organic Matter,1.9,7.0
043024-sp-96,DAF,2024-03-20,Active Carbon,127.38,1000.0
043024-sp-96,DAF,2024-03-20,Bicarbonates,143.41,60.0
043024-sp-96,DAF,2024-03-20,Est N from OM in lb,58.0,120.0
043024-sp-96,DAF,2024-03-20,Nitrate,10.49,30.0
043024-sp-96,DAF,2024-03-20,Ammonium,0.7,40.0
043024-sp-97,505 NORTH,2024-03-20,pH (1:1),6.95,6.2
043024-sp-97,505 NORTH,2024-03-20,Soluble Salts,0.02,0.64
043024-sp-97,505 NORTH,2024-03-20,EC,0.03,0.7
043024-sp-97,505 NORTH,2024-03-20,ORP,-10.0,80.0
043024-sp-97,505 NORTH,2024-03-20,Organic Matter,3.08,7.0
043024-sp-97,505 NORTH,2024-03-20,Active Carbon,165.61,1000.0
043024-sp-97,505 NORTH,2024-03-20,Bicarbonates,142.9,60.0
043024-sp-97,505 NORTH,2024-03-20,Est N from OM in lb,80.8,120.0
043024-sp-97,505 NORTH,2024-03-20,Nitrate,23.32,30.0
043024-sp-97,505 NORTH,2024-03-20,Ammonium,0.45,40.0
043024-sp-98,DAF,2024-03-20,pH (1:1),7.18,6.2
043024-sp-98,DAF,2024-03-20,Soluble Salts,0.01,0.64
043024-sp-98,DAF,2024-03-20,EC,0.02,0.7
043024-sp-98,DAF,2024-03-20,ORP,-11.0,80.0
043024-sp-98,DAF,2024-03-20,Organic Matter,2.88,7.0
043024-sp-98,DAF,2024-03-20,Active Carbon,186.0,1000.0
043024-sp-98,DAF,2024-03-20,Bicarbonates,139.53,60.0
043024-sp-98,DAF,2024-03-20,Est N from OM in lb,77.6,120.0
043024-sp-98,DAF,2024-03-20,Nitrate,15.78,30.0
043024-sp-98,DAF,2024-03-20,Ammonium,0.19,40.0
043024-sp-99,JK,2024-03-20,pH (1:1),7.16,6.2
043024-sp-99,JK,2024-03-20,Soluble Salts,0.01,0.64
043024-sp-99,JK,2024-03-20,EC,0.02,0.7
043024-sp-99,JK,2024-03-20,ORP,-15.0,80.0
043024-sp-99,JK,2024-03-20,Organic Matter,2.0,7.0
043024-sp-99,JK,2024-03-20,Active Carbon,63.66,1000.0
043024-sp-99,JK,2024-03-20,Bicarbonates,145.57,60.0
043024-sp-99,JK,2024-03-20,Est N from OM in lb,60.0,120.0
043024-sp-99,JK,2024-03-20,Nitrate,15.32,30.0
043024-sp-99,JK,2024-03-20,Ammonium,0.2,40.0
043024-sp-100,BALBOA,2024-03-20,pH (1:1),7.32,6.2
043024-sp-100,BALBOA,2024-03-20,Soluble Salts,0.02,0.64
043024-sp-100,BALBOA,2024-03-20,EC,0.03,0.7
043024-sp-100,BALBOA,2024-03-20,ORP,-23.0,80.0
043024-sp-100,BALBOA,2024-03-20,Organic Matter,2.88,7.0
043024-sp-100,BALBOA,2024-03-20,Active Carbon,150.32,1000.0
043024-sp-100,BALBOA,2024-03-20,Bicarbonates,126.88,60.0
043024-sp-100,BALBOA,2024-03-20,Est N from OM in lb,77.6,120.0
043024-sp-100,BALBOA,2024-03-20,Nitrate,21.34,30.0
043024-sp-100,BALBOA,2024-03-20,Ammonium,0.08,40.0
043024-sp-101,TOP,2024-03-20,pH (1:1),7.22,6.2
043024-sp-101,TOP,2024-03-20,Soluble Salts,0.01,0.64
043024-sp-101,TOP,2024-03-20,EC,0.02,0.7
043024-sp-101,TOP,2024-03-20,ORP,-27.0,80.0
043024-sp-101,TOP,2024-03-20,Organic Matter,4.6,7.0
043024-sp-101,TOP,2024-03-20,Active Carbon,96.8,1000.0
043024-sp-101,TOP,2024-03-20,Bicarbonates,122.09,60.0
043024-sp-101,TOP,2024-03-20,Est N from OM in lb,96.0,120.0
043024-sp-101,TOP,2024-03-20,Nitrate,16.26,30.0
043024-sp-101,TOP,2024-03-20,Ammonium,0.2,40.0
043024-sp-102,WFP,2024-03-20,pH (1:1),6.81,6.2
043024-sp-102,WFP,2024-03-20,Soluble Salts,0.01,0.64
043024-sp-102,WFP,2024-03-20,EC,0.02,0.7
043024-sp-102,WFP,2024-03-20,ORP,-10.0,80.0
043024-sp-102,WFP,2024-03-20,Organic Matter,2.8,7.0
043024-sp-102,WFP,2024-03-20,Active Carbon,145.22,1000.0
043024-sp-102,WFP,2024-03-20,Bicarbonates,88.45,60.0
043024-sp-102,WFP,2024-03-20,Est N from OM in lb,76.0,120.0
043024-sp-102,WFP,2024-03-20,Nitrate,32.48,30.0
043024-sp-102,WFP,2024-03-20,Ammonium,0.97,40.0
043024-sp-103,SP 50,2024-03-20,pH (1:1),6.82,6.2
043024-sp-103,SP 50,2024-03-20,Soluble Salts,0.01,0.64
043024-sp-103,SP 50,2024-03-20,EC,0.02,0.7
043024-sp-103,SP 50,2024-03-20,ORP,9.0,80.0
043024-sp-103,SP 50,2024-03-20,Organic Matter,4.0,7.0
043024-sp-103,SP 50,2024-03-20,Active Carbon,193.65,1000.0
043024-sp-103,SP 50,2024-03-20,Bicarbonates,135.55,60.0
043024-sp-103,SP 50,2024-03-20,Est N from OM in lb,90.0,120.0
043024-sp-103,SP 50,2024-03-20,Nitrate,27.45,30.0
043024-sp-103,SP 50,2024-03-20,Ammonium,1.54,40.0
043024-sp-104,TERK,2024-03-20,pH (1:1),6.91,6.2
043024-sp-104,TERK,2024-03-20,Soluble Salts,0.01,0.64
043024-sp-104,TERK,2024-03-20,EC,0.02,0.7
043024-sp-104,TERK,2024-03-20,ORP,-3.0,80.0
043024-sp-104,TERK,2024-03-20,Organic Matter,5.0,7.0
043024-sp-104,TERK,2024-03-20,Active Carbon,198.75,1000.0
043024-sp-104,TERK,2024-03-20,Bicarbonates,156.76,60.0
043024-sp-104,TERK,2024-03-20,Est N from OM in lb,100.0,120.0
043024-sp-104,TERK,2024-03-20,Nitrate,6.55,30.0
043024-sp-104,TERK,2024-03-20,Ammonium,1.26,40.0
043024-sp-105,BI,2024-03-20,pH (1:1),6.43,6.2
043024-sp-105,BI,2024-03-20,Soluble Salts,0.03,0.64
043024-sp-105,BI,2024-03-20,EC,0.05,0.7
043024-sp-105,BI,2024-03-20,ORP,34.0,80.0
043024-sp-105,BI,2024-03-20,Organic Matter,3.7,7.0
043024-sp-105,BI,2024-03-20,Active Carbon,155.42,1000.0
043024-sp-105,BI,2024-03-20,Bicarbonates,120.15,60.0
043024-sp-105,BI,2024-03-20,Est N from OM in lb,87.0,120.0
043024-sp-105,BI,2024-03-20,Nitrate,0.92,30.0
043024-sp-105,BI,2024-03-20,Ammonium,1.44,40.0
043024-sp-106,BYRD,2024-03-20,pH (1:1),6.6,6.2
043024-sp-106,BYRD,2024-03-20,Soluble Salts,0.01,0.64
043024-sp-106,BYRD,2024-03-20,EC,0.02,0.7
043024-sp-106,BYRD,2024-03-20,ORP,13.0,80.0
043024-sp-106,BYRD,2024-03-20,Organic Matter,3.76,7.0
043024-sp-106,BYRD,2024-03-20,Active Carbon,140.13,1000.0
043024-sp-106,BYRD,2024-03-20,Bicarbonates,121.85,60.0
043024-sp-106,BYRD,2024-03-20,Est N from OM in lb,87.6,120.0
043024-sp-106,BYRD,2024-03-20,Nitrate,17.57,30.0
043024-sp-106,BYRD,2024-03-20,Ammonium,1.37,40.0
043024-sp-107,GOLF,2024-03-20,pH (1:1),6.39,6.2
043024-sp-107,GOLF,2024-03-20,Soluble Salts,0.02,0.64
043024-sp-107,GOLF,2024-03-20,EC,0.03,0.7
043024-sp-107,GOLF,2024-03-20,ORP,30.0,80.0
043024-sp-107,GOLF,2024-03-20,Organic Matter,2.44,7.0
043024-sp-107,GOLF,2024-03-20,Active Carbon,150.32,1000.0
043024-sp-107,GOLF,2024-03-20,Bicarbonates,133.71,60.0
043024-sp-107,GOLF,2024-03-20,Est N from OM in lb,68.8,120.0
043024-sp-107,GOLF,2024-03-20,Nitrate,3.63,30.0
043024-sp-107,GOLF,2024-03-20,Ammonium,3.82,40.0
043024-sp-108,JK,2024-03-20,pH (1:1),6.49,6.2
043024-sp-108,JK,2024-03-20,Soluble Salts,0.01,0.64
043024-sp-108,JK,2024-03-20,EC,0.01,0.7
043024-sp-108,JK,2024-03-20,ORP,20.0,80.0
043024-sp-108,JK,2024-03-20,Organic Matter,1.94,7.0
043024-sp-108,JK,2024-03-20,Active Carbon,119.74,1000.0
043024-sp-108,JK,2024-03-20,Bicarbonates,109.52,60.0
043024-sp-108,JK,2024-03-20,Est N from OM in lb,58.8,120.0
043024-sp-108,JK,2024-03-20,Nitrate,5.37,30.0
043024-sp-108,JK,2024-03-20,Ammonium,1.92,40.0
043024-sp-109,GOLF P,2024-03-20,pH (1:1),6.64,6.2
043024-sp-109,GOLF P,2024-03-20,Soluble Salts,0.01,0.64
043024-sp-109,GOLF P,2024-03-20,EC,0.02,0.7
043024-sp-109,GOLF P,2024-03-20,ORP,16.0,80.0
043024-sp-109,GOLF P,2024-03-20,Organic Matter,4.12,7.0
043024-sp-109,GOLF P,2024-03-20,Active Carbon,160.52,1000.0
043024-sp-109,GOLF P,2024-03-20,Bicarbonates,147.35,60.0
043024-sp-109,GOLF P,2024-03-20,Est N from OM in lb,91.2,120.0
043024-sp-109,GOLF P,2024-03-20,Nitrate,11.3,30.0
043024-sp-109,GOLF P,2024-03-20,Ammonium,1.5,40.0
043024-sp-110,KF,2024-03-20,pH (1:1),6.94,6.2
043024-sp-110,KF,2024-03-20,Soluble Salts,0.02,0.64
043024-sp-110,KF,2024-03-20,EC,0.03,0.7
043024-sp-110,KF,2024-03-20,ORP,-4.0,80.0
043024-sp-110,KF,2024-03-20,Organic Matter,4.56,7.0
043024-sp-110,KF,2024-03-20,Active Carbon,124.83,1000.0
043024-sp-110,KF,2024-03-20,Bicarbonates,153.93,60.0
043024-sp-110,KF,2024-03-20,Est N from OM in lb,95.6,120.0
043024-sp-110,KF,2024-03-20,Nitrate,3.97,30.0
043024-sp-110,KF,2024-03-20,Ammonium,0.83,40.0
043024-sp-111,DAF,2024-03-20,pH (1:1),6.83,6.2
043024-sp-111,DAF,2024-03-20,Soluble Salts,0.02,0.64
043024-sp-111,DAF,2024-03-20,EC,0.03,0.7
043024-sp-111,DAF,2024-03-20,ORP,-1.0,80.0
043024-sp-111,DAF,2024-03-20,Organic Matter,2.54,7.0
043024-sp-111,DAF,2024-03-20,Active Carbon,186.0,1000.0
043024-sp-111,DAF,2024-03-20,Bicarbonates,140.36,60.0
043024-sp-111,DAF,2024-03-20,Est N from OM in lb,70.8,120.0
043024-sp-111,DAF,2024-03-20,Nitrate,6.61,30.0
043024-sp-111,DAF,2024-03-20,Ammonium,0.96,40.0
043024-sp-112,GL ORGANIC,2024-03-20,pH (1:1),6.81,6.2
043024-sp-112,GL ORGANIC,2024-03-20,Soluble Salts,0.01,0.64
043024-sp-112,GL ORGANIC,2024-03-20,EC,0.02,0.7
043024-sp-112,GL ORGANIC,2024-03-20,ORP,-8.0,80.0
043024-sp-112,GL ORGANIC,2024-03-20,Organic Matter,2.12,7.0
043024-sp-112,GL ORGANIC,2024-03-20,Active Carbon,129.93,1000.0
043024-sp-112,GL ORGANIC,2024-03-20,Bicarbonates,171.19,60.0
043024-sp-112,GL ORGANIC,2024-03-20,Est N from OM in lb,62.4,120.0
043024-sp-112,GL ORGANIC,2024-03-20,Nitrate,2.42,30.0
043024-sp-112,GL ORGANIC,2024-03-20,Ammonium,1.57,40.0
043024-sp-113,BRU-1A,2024-03-20,pH (1:1),5.92,6.2
043024-sp-113,BRU-1A,2024-03-20,Soluble Salts,0.03,0.64
043024-sp-113,BRU-1A,2024-03-20,EC,0.04,0.7
043024-sp-113,BRU-1A,2024-03-20,ORP,65.0,80.0
043024-sp-113,BRU-1A,2024-03-20,Organic Matter,1.76,7.0
043024-sp-113,BRU-1A,2024-03-20,Active Carbon,106.99,1000.0
043024-sp-113,BRU-1A,2024-03-20,Bicarbonates,162.81,60.0
043024-sp-113,BRU-1A,2024-03-20,Est N from OM in lb,55.2,120.0
043024-sp-113,BRU-1A,2024-03-20,Nitrate,66.64,30.0
043024-sp-113,BRU-1A,2024-03-20,Ammonium,1.37,40.0
043024-sp-114,RCH,2024-03-20,pH (1:1),5.81,6.2
043024-sp-114,RCH,2024-03-20,Soluble Salts,0.01,0.64
043024-sp-114,RCH,2024-03-20,EC,0.02,0.7
043024-sp-114,RCH,2024-03-20,ORP,54.0,80.0
043024-sp-114,RCH,2024-03-20,Organic Matter,2.18,7.0
043024-sp-114,RCH,2024-03-20,Active Carbon,132.48,1000.0
043024-sp-114,RCH,2024-03-20,Bicarbonates,141.84,60.0
043024-sp-114,RCH,2024-03-20,Est N from OM in lb,63.6,120.0
043024-sp-114,RCH,2024-03-20,Nitrate,0.0,30.0
043024-sp-114,RCH,2024-03-20,Ammonium,1.2,40.0
043024-sp-115,GL RANCH,2024-03-20,pH (1:1),6.32,6.2
043024-sp-115,GL RANCH,2024-03-20,Soluble Salts,0.02,0.64
043024-sp-115,GL RANCH,2024-03-20,EC,0.03,0.7
043024-sp-115,GL RANCH,2024-03-20,ORP,28.0,80.0
043024-sp-115,GL RANCH,2024-03-20,Organic Matter,2.54,7.0
043024-sp-115,GL RANCH,2024-03-20,Active Carbon,198.75,1000.0
043024-sp-115,GL RANCH,2024-03-20,Bicarbonates,134.58,60.0
043024-sp-115,GL RANCH,2024-03-20,Est N from OM in lb,70.8,120.0
043024-sp-115,GL RANCH,2024-03-20,Nitrate,29.11,30.0
043024-sp-115,GL RANCH,2024-03-20,Ammonium,1.02,40.0
043024-sp-116,GL RANCH,2024-03-20,pH (1:1),7.24,6.2
043024-sp-116,GL RANCH,2024-03-20,Soluble Salts,0.01,0.64
043024-sp-116,GL RANCH,2024-03-20,EC,0.02,0.7
043024-sp-116,GL RANCH,2024-03-20,ORP,10.0,80.0
043024-sp-116,GL RANCH,2024-03-20,Organic Matter,1.94,7.0
043024-sp-116,GL RANCH,2024-03-20,Active Carbon,112.09,1000.0
043024-sp-116,GL RANCH,2024-03-20,Bicarbonates,159.15,60.0
043024-sp-116,GL RANCH,2024-03-20,Est N from OM in lb,58.8,120.0
043024-sp-116,GL RANCH,2024-03-20,Nitrate,18.66,30.0
043024-sp-116,GL RANCH,2024-03-20,Ammonium,1.31,40.0
043024-sp-117,C&H2,2024-03-20,pH (1:1),6.95,6.2
043024-sp-117,C&H2,2024-03-20,Soluble Salts,0.01,0.64
043024-sp-117,C&H2,2024-03-20,EC,0.01,0.7
043024-sp-117,C&H2,2024-03-20,ORP,-4.0,80.0
043024-sp-117,C&H2,2024-03-20,Organic Matter,1.52,7.0
043024-sp-117,C&H2,2024-03-20,Active Carbon,101.89,1000.0
043024-sp-117,C&H2,2024-03-20,Bicarbonates,166.18,60.0
043024-sp-117,C&H2,2024-03-20,Est N from OM in lb,50.4,120.0
043024-sp-117,C&H2,2024-03-20,Nitrate,5.48,30.0
043024-sp-117,C&H2,2024-03-20,Ammonium,0.65,40.0
